name,year,genre,adult,budget,c_box_office,c_profit,c_performance
The Shawshank Redemption,1994,Drama,yes,25.0,28.88,1.16,expected
The Godfather,1972,Action,yes,6.0,250.34,41.72,great
The Dark Knight,2008,Action,no,185.0,1006.23,5.44,great
The Godfather Part II,1974,Action,yes,13.0,47.96,3.69,expected
12 Angry Men,1957,Action,yes,0.35,0.0,0.0,expected
Schindler's List,1993,History,yes,22.0,322.16,14.64,great
The Lord of the Rings: The Return of the King,2003,Action,no,94.0,1146.46,12.2,great
Pulp Fiction,1994,Action,yes,8.0,213.93,26.74,great
The Lord of the Rings: The Fellowship of the Ring,2001,Action,no,93.0,898.2,9.66,great
"The Good, the Bad and the Ugly",1966,Action,yes,1.2,25.25,21.04,great
Forrest Gump,1994,Family,no,55.0,678.23,12.33,great
Fight Club,1999,Drama,yes,63.0,101.21,1.61,expected
The Lord of the Rings: The Two Towers,2002,Action,no,94.0,947.94,10.08,great
Inception,2010,Fantasy,no,160.0,836.85,5.23,great
Star Wars: Episode V - The Empire Strikes Back,1980,Fantasy,no,18.0,538.38,29.91,great
The Matrix,1999,Fantasy,yes,63.0,467.22,7.42,great
Goodfellas,1990,History,yes,25.0,47.04,1.88,expected
One Flew Over the Cuckoo's Nest,1975,Drama,yes,3.0,109.11,36.37,great
Se7en,1995,Mystery,yes,33.0,327.33,9.92,great
Seven Samurai,1954,Action,yes,125.0,0.35,0.0,expected
It's a Wonderful Life,1946,Fantasy,no,3.18,8.57,2.7,expected
The Silence of the Lambs,1991,Mystery,yes,19.0,272.74,14.35,great
City of God,2002,Action,yes,3.3,30.68,9.3,great
Saving Private Ryan,1998,History,yes,70.0,482.35,6.89,great
Interstellar,2014,Fantasy,no,165.0,773.87,4.69,expected
Life Is Beautiful,1997,Family,no,20.0,230.1,11.5,great
The Green Mile,1999,Fantasy,yes,60.0,286.8,4.78,expected
Star Wars: Episode IV - A New Hope,1977,Fantasy,no,11.0,775.4,70.49,great
Terminator 2: Judgment Day,1991,Fantasy,yes,102.0,520.88,5.11,great
Back to the Future,1985,Fantasy,no,19.0,383.34,20.18,great
Spirited Away,2001,Family,no,19.0,355.82,18.73,great
The Pianist,2002,History,yes,35.0,120.07,3.43,expected
Psycho,1960,Mystery,yes,0.81,32.05,39.72,great
Parasite,2019,Mystery,yes,11.4,262.68,23.04,great
The Lion King,1994,Family,no,45.0,968.51,21.52,great
Gladiator,2000,Action,yes,103.0,503.16,4.89,expected
American History X,1998,Action,yes,20.0,23.88,1.19,expected
The Departed,2006,Mystery,yes,90.0,291.48,3.24,expected
The Usual Suspects,1995,Mystery,yes,6.0,23.34,3.89,expected
The Prestige,2006,Fantasy,no,40.0,109.68,2.74,expected
Whiplash,2014,Family,yes,3.3,49.4,14.97,great
Casablanca,1942,History,no,0.95,4.63,4.87,expected
Grave of the Fireflies,1988,History,yes,3.7,0.52,0.14,expected
The Intouchables,2011,History,yes,9.5,426.59,44.9,great
Modern Times,1936,Family,no,1.5,0.46,0.31,expected
Once Upon a Time in the West,1968,Action,no,5.0,5.44,1.09,expected
Rear Window,1954,Mystery,no,1.0,37.03,37.03,great
Cinema Paradiso,1988,Family,no,5.0,13.02,2.6,expected
Alien,1979,Fantasy,yes,11.0,106.29,9.66,great
City Lights,1931,Family,no,1.5,0.05,0.03,expected
Apocalypse Now,1979,History,yes,31.5,104.88,3.33,expected
Memento,2000,Mystery,yes,9.0,40.05,4.45,expected
Django Unchained,2012,Action,yes,100.0,426.07,4.26,expected
Indiana Jones and the Raiders of the Lost Ark,1981,Action,no,18.0,389.93,21.66,great
WALL·E,2008,Family,no,180.0,521.31,2.9,expected
The Lives of Others,2006,Mystery,yes,2.0,77.36,38.68,great
Sunset Blvd.,1950,Mystery,yes,1.75,0.3,0.17,expected
Paths of Glory,1957,History,yes,0.94,0.01,0.01,expected
The Shining,1980,Mystery,yes,19.0,47.34,2.49,expected
The Great Dictator,1940,History,no,2.0,0.97,0.49,expected
Avengers: Infinity War,2018,Fantasy,no,321.0,2052.42,6.39,great
Witness for the Prosecution,1957,Mystery,yes,3.0,0.01,0.0,expected
Aliens,1986,Fantasy,yes,18.5,131.06,7.08,great
American Beauty,1999,Drama,yes,15.0,356.3,23.75,great
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,History,no,1.8,9.52,5.29,great
The Dark Knight Rises,2012,Action,no,250.0,1081.17,4.32,expected
Oldboy,2003,Mystery,yes,3.0,15.42,5.14,great
Inglourious Basterds,2009,History,yes,70.0,321.46,4.59,expected
Amadeus,1984,History,no,18.0,52.07,2.89,expected
Coco,2017,Family,no,175.0,814.34,4.65,expected
Toy Story,1995,Family,no,30.0,394.44,13.15,great
Joker,2019,Mystery,yes,55.0,1074.46,19.54,great
Braveheart,1995,History,yes,72.0,213.22,2.96,expected
