revenue,costs,audited,market_focus,ceo_tenure_years,risk
10076637.877730213,8462399.400106044,1.0,Industrial,12.7346553430837,healthy
7786446.380719546,7701862.698139646,1.0,"Ads,Industrial",7.875798262765597,cost_risk
16859462.847360224,14555828.879444148,1.0,"Ads,Scale",3.882066498578433,healthy
9868911.455718312,7460503.886827995,1.0,Scale,1.570453652542931,healthy
5200839.572863489,4969180.821657089,1.0,Contract,8.292521930186862,cost_risk
12757055.57457628,11494075.768881684,1.0,Scale,1.0935711816927682,healthy
32736461.495629605,32072594.807762165,1.0,Ads,6.404281533166849,cost_risk
22909929.17841647,22339808.757572357,1.0,"Ads,Scale",4.706811429524482,cost_risk
4396260.117641095,3142560.3306987723,0.0,Ads,5.16476997337178,healthy
2506952.748041797,2343126.8264025664,0.0,Contract,3.9075094025955677,both_risks
4764606.629236968,3510920.745961762,0.0,"Contract,Scale",12.422725227474334,healthy
9261031.368864503,7710361.001306241,1.0,"Industrial,Contract",19.788033151605077,healthy
868887.7507980193,589573.2871256125,0.0,Contract,7.078657125016729,sales_risk
7139892.913310104,6415578.8663847735,1.0,Contract,6.027706955490876,healthy
2556344.9766096016,1658516.3340644338,0.0,Contract,4.930653733157634,sales_risk
4272598.060659943,3743526.1470571025,0.0,Industrial,2.6818997562243347,healthy
5156357.705274805,5339092.390918307,0.0,"Ads,Industrial",5.627469929498326,cost_risk
6476558.578124556,4477597.688898123,0.0,Industrial,4.826169622972708,healthy
13411599.655171638,11284152.444511075,1.0,Contract,4.851252786527439,healthy
25204002.50524228,22429407.022696473,0.0,Ads,10.239321265365268,healthy
7814295.237710533,6874504.15885874,0.0,Ads,11.091324459867883,healthy
34846507.346981764,32769475.085588813,1.0,"Industrial,Contract",6.775948683163553,both_risks
4569001.854868067,3185131.7565403436,1.0,Industrial,1.6453300832151543,healthy
12629047.427852921,12823495.204644786,0.0,Industrial,20.016980612368325,cost_risk
21932282.1821235,19481799.23408517,0.0,Industrial,9.800233790638252,sales_risk
9762043.366137825,9085764.287077159,0.0,Ads,1.743415336999451,cost_risk
4224877.1889474485,3659934.2870377814,0.0,Industrial,7.2702945030502715,healthy
3535179.463881038,3424121.019451719,1.0,"Industrial,Scale",3.198803975835042,cost_risk
5622428.097214397,3824967.698441537,1.0,Contract,2.4461220857277715,healthy
11074936.314221533,11052444.081272272,1.0,"Ads,Scale",6.012721038840642,cost_risk
3237726.0872823554,2445788.7016713666,0.0,Ads,20.783107380389275,healthy
7208881.93010188,6225003.012606981,1.0,Industrial,4.03858896560158,healthy
7578114.576625403,7105103.425079279,0.0,"Industrial,Ads",6.3608966037673795,cost_risk
15261526.08950717,14688675.350420682,0.0,Industrial,2.732239907623315,cost_risk
11013794.851861948,10608328.829947475,0.0,Industrial,9.855041757626388,cost_risk
12677923.212295502,10730925.159022773,1.0,Contract,2.588239636473331,healthy
4621229.672777305,3307383.8933533514,0.0,Ads,7.7372463356424035,healthy
7805868.388706374,7409154.868330872,1.0,Industrial,5.985621566088408,cost_risk
19462020.74061107,17337510.680030946,1.0,"Scale,Ads",2.929902505992164,healthy
39564038.51078124,35789368.05364588,1.0,Scale,7.053281716627561,sales_risk
2522937.531981332,1848472.675611231,0.0,"Contract,Scale",2.953767378315071,healthy
40383174.149830736,33990722.95959698,1.0,"Contract,Industrial",1.8328483359732426,sales_risk
34136420.555800624,30951392.2357438,1.0,Scale,0.889205869194935,healthy
19410241.569730345,17556254.630961914,1.0,Industrial,5.487500102471673,both_risks
11576128.297933944,10333626.281806307,1.0,Scale,3.280644043065924,healthy
6491973.888234936,6067403.432560953,1.0,Industrial,13.170126250805303,cost_risk
38187572.12254132,27227176.592635404,1.0,"Scale,Ads",16.913379346985984,sales_risk
63101703.025002226,41913739.18670384,1.0,"Contract,Industrial",3.8476047800040822,sales_risk
53845794.92611833,37229776.7116421,0.0,"Contract,Scale",10.56310219564593,sales_risk
33101983.55664344,29204849.969527267,1.0,Industrial,6.022483527342237,sales_risk
12703402.2678668,11480311.1132845,1.0,Ads,4.711768106466331,healthy
2654273.0412249104,2398121.3012215775,0.0,Industrial,4.191763862444689,healthy
8846618.617716819,7542312.630069599,0.0,"Contract,Scale",0.41188140608898255,healthy
17132279.551274072,11241920.049176423,1.0,Contract,1.854552291718842,healthy
2450097.888592857,2285069.610036957,1.0,Ads,7.949796382459947,cost_risk
13192012.096547613,10560722.111671884,1.0,Scale,5.325816715661358,healthy
13658378.418147976,14448037.43542108,0.0,Industrial,3.3608350598993084,cost_risk
17823755.853042457,13082064.27600539,1.0,Industrial,11.440969663828527,healthy
2719291.7905347724,1957662.9106236577,1.0,"Industrial,Contract",5.772378682838852,sales_risk
4584985.164285688,4097338.821135015,0.0,"Industrial,Scale",6.294178160013141,healthy
5743416.227580865,3894061.4002337395,1.0,Ads,14.69668055212411,healthy
2758501.3255492556,2049409.2218793887,1.0,"Scale,Ads",2.5320406105901547,healthy
50595230.814113945,48683795.854554184,1.0,Contract,1.4632928917279635,both_risks
5411783.542107429,4928840.160500449,0.0,"Contract,Industrial",6.899300206431443,healthy
12347567.393620353,9703609.794739358,1.0,"Ads,Scale",1.6169160113754129,healthy
6861437.010581836,6918028.033367099,0.0,Ads,2.4147165809544324,cost_risk
43291760.180515304,38549228.536861084,1.0,"Ads,Industrial",1.1238546855212215,sales_risk
33276466.289736487,28547519.903781984,1.0,Contract,13.54452393238915,sales_risk
16740686.350710511,12935013.445659261,1.0,Contract,14.271030882146524,healthy
981159.3085045093,916398.470306849,0.0,Ads,8.171816672459792,both_risks
9360684.482571574,6545726.631517462,1.0,Industrial,3.9357387565435107,healthy
17604871.135484952,17364214.115539383,1.0,Contract,10.783530202572924,cost_risk
24250834.22633808,22814433.933281682,1.0,Contract,1.185725849925517,healthy
4790249.018959078,4011346.846613833,0.0,Contract,6.268289307891187,healthy
54954238.15549798,58147473.69316252,1.0,"Industrial,Contract",6.743366104305229,both_risks
2372771.003661651,2093454.5917973989,0.0,"Scale,Industrial",8.336213161797195,healthy
4585785.544323533,4109621.1332250615,0.0,Ads,7.837748059643767,cost_risk
22635951.80505268,16150066.85709883,1.0,Scale,1.6312361693918638,healthy
9332883.79812964,7153202.683773409,0.0,Scale,3.1224822007232826,healthy
65817254.18942703,61812892.486659385,1.0,"Ads,Scale",1.7557859215455776,both_risks
10729625.292469747,9937246.235160489,1.0,Ads,9.638497363080733,healthy
4717577.1486583045,4463331.707460026,0.0,Contract,1.3814731847854056,cost_risk
6091692.372550237,5311525.887855625,0.0,Industrial,4.020855869006191,healthy
2984234.6771794744,3010993.4935352844,0.0,"Industrial,Contract",0.8609899244883696,cost_risk
2476408.3776411423,1949072.2708490223,1.0,Contract,8.767409653127622,healthy
16691522.116127007,14259102.997089114,0.0,"Industrial,Ads",1.9994590207871408,healthy
15889448.211850304,10752519.61890673,0.0,Industrial,3.9826177734430885,healthy
